PostalCode,Borough,Neighborhood,Latitude,Longitude
M7A,Queen's Park,Queen's Park,43.6623015,-79.3894938
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.615819
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558
M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.5013207
M8W,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.4985091
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.5209994
M9A,Etobicoke,Islington Avenue,43.6678556,-79.5322424
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.5547244
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.5772008
M9L,North York,Humber Summit,43.7563033,-79.5659633
M9M,North York,"Emery, Humberlea",43.7247659,-79.5322424
M9N,York,Weston,43.706876,-79.5181884
M9P,Etobicoke,Westmount,43.696319,-79.5322424
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.5547244
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.7394164,-79.5884369
M9W,Etobicoke,Northwest,43.7067483,-79.5940544
